area,skill_num,performance,ano,descricao
CH,1,0.31923424878623774,2024,Compreender a produção e o papel histórico das instituições sociais
CH,2,0.3953953226889822,2024,Analisar a atuação dos movimentos sociais na transformação da realidade
CH,3,0.4039597538906869,2024,Compreender conflitos gerados pela diversidade cultural
CH,4,0.4708843299372018,2024,Avaliar relações de poder entre grupos sociais
CH,5,0.33092038026001935,2024,Identificar transformações territoriais e paisagens
CH,6,0.619394451851519,2024,Compreender processos de formação do Estado brasileiro
CH,7,0.3096724751626136,2024,Analisar o papel da mídia na sociedade contemporânea
CH,8,0.342219979526525,2024,Compreender fatores que contribuíram para revoluções históricas
CH,9,0.34803023074822004,2024,Analisar processos migratórios e seus impactos
CH,10,0.4066915518570862,2024,Compreender organizações políticas e sistemas de governo
CH,11,0.4394262312868632,2024,Analisar desigualdades sociais e seus determinantes
CH,12,0.33792245646781954,2024,Compreender processo de urbanização e problemas urbanos
CH,13,0.3929231631648598,2024,Avaliar impactos da globalização econômica e cultural
CH,14,0.49410122752644486,2024,Analisar formação e caracterização de blocos econômicos
CH,15,0.5664750416810701,2024,Compreender aspectos geográficos de conflitos contemporâneos
CH,16,0.31844291249825657,2024,Analisar processos de industrialização e impactos
CH,17,0.42253829150603794,2024,Compreender relações entre trabalho e sociedade
CH,18,0.3566666834914014,2024,"Analisar períodos históricos do Brasil (colonial, imperial, republicano)"
CH,19,0.5354675032592983,2024,Compreender formação cultural brasileira e identidade nacional
CH,20,0.4013272087274605,2024,Avaliar propostas de intervenção em problemas sociais
CH,21,0.5860563960455935,2024,Compreender questões ambientais e desenvolvimento sustentável
CH,22,0.7218121820743069,2024,Analisar a questão agrária brasileira e conflitos no campo
CH,23,0.25605415941585247,2024,Compreender processos de colonização e descolonização
CH,24,0.5627637125104121,2024,Analisar aspectos do trabalho no mundo contemporâneo
CH,25,0.7488734506268753,2024,Compreender dinâmicas demográficas e suas consequências
CH,26,0.3264466145874855,2024,Analisar a expansão marítima e comercial europeia
CH,27,0.5210108521130836,2024,Compreender processos de independência na América
CH,28,0.3069521893335174,2024,Analisar regimes autoritários e processos de democratização
CH,29,0.387062249395981,2024,Compreender a formação dos Estados nacionais
CH,30,0.3133840493002713,2024,Analisar movimentos culturais e artísticos ao longo da história
CN,1,0.3915152751061237,2024,Compreender fenômenos naturais usando conceitos científicos
CN,2,0.21467270690829934,2024,"Associar sistemas físicos, químicos e biológicos a processos naturais"
CN,3,0.2783821384259412,2024,Enfrentar situações-problema usando conhecimentos científicos
CN,4,0.32151401835538995,2024,Compreender o papel da evolução na diversidade biológica
CN,5,0.2118414631930699,2024,Avaliar o impacto de intervenções humanas no ambiente
CN,6,0.14464393192371033,2024,Interpretar experimentos científicos e seus resultados
CN,7,0.313479536128013,2024,Analisar e compreender conceitos de genética e hereditariedade
CN,8,0.26105025316874286,2024,Compreender processos de transformação de energia
CN,9,0.29314145824011645,2024,Avaliar mudanças de estado físico e transformações químicas
CN,10,0.2167493417076182,2024,Compreender a dinâmica de ecossistemas e cadeias alimentares
CN,11,0.2885488459325421,2024,Analisar fenômenos eletromagnéticos e suas aplicações
CN,12,0.35063170296400153,2024,Compreender processos de obtenção de materiais e substâncias
CN,13,0.38010251571651316,2024,Avaliar propostas de intervenção no meio ambiente
CN,14,0.27006944071882094,2024,Compreender a célula como unidade básica da vida
CN,15,0.24941353212366846,2024,Analisar fenômenos ondulatórios e suas propriedades
CN,16,0.14793288057681125,2024,Compreender processos metabólicos e bioquímicos
CN,17,0.2767577659410967,2024,Avaliar aspectos quantitativos de transformações químicas
CN,18,0.2385428200464193,2024,"Compreender movimento, forças e leis de Newton"
CN,19,0.3667093634621458,2024,Analisar processos de nutrição e digestão
